state,individuals,avg_age,recency,percent_voted
AE,10,29.00,2016-08-29,100.00
AK,140,missing,2017-10-04,23.08
AL,1640,42.62,2017-09-13,45.73
AP,10,25.00,2016-02-13,100.00
AR,1000,40.96,2017-09-30,44.79
AZ,2450,46.68,2017-08-09,44.90
CA,15320,45.97,2017-07-20,65.86
CO,1590,40.87,2017-10-02,53.02
CT,1100,39.40,2017-09-25,67.59
DC,370,37.67,2017-05-18,70.27
DE,370,43.30,2017-08-31,48.65
FL,5820,45.04,2017-08-31,51.37
GA,3270,40.33,2017-09-07,36.70
IA,740,35.77,2017-10-11,47.22
ID,450,49.27,2017-05-23,77.78
IL,3600,40.26,2017-06-15,59.58
IN,2470,42.66,2017-08-12,57.49
KS,670,44.67,2017-09-01,52.24
KY,1310,43.52,2017-07-31,52.67
LA,1300,39.54,2017-08-31,58.46
MA,2100,42.17,2017-07-22,60.48
MD,1530,37.76,2017-06-30,51.63
ME,480,43.06,2017-06-13,83.33
MI,2230,41.82,2017-09-06,49.78
MN,1290,40.84,2017-10-16,82.03
MO,1520,40.60,2017-07-25,53.29
MS,650,51.03,2017-08-03,46.15
MT,330,48.06,2017-09-12,60.61
NC,2960,41.96,2017-08-25,59.46
ND,200,55.25,2017-03-24,95.00
NE,530,38.96,2017-05-18,66.04
NH,600,42.55,2017-04-13,68.33
NJ,2230,37.74,2017-10-13,50.23
NM,410,40.90,2017-07-07,48.78
NV,1250,45.61,2017-09-10,50.40
NY,4810,41.44,2017-06-30,51.14
OH,3580,40.11,2017-09-15,53.91
OK,1330,43.74,2017-09-22,57.14
OR,1100,43.47,2017-06-30,42.73
PA,3920,42.36,2017-09-25,66.33
PR,30,76.33,2016-10-02,33.33
RI,350,36.66,2017-08-10,54.29
SC,1290,42.78,2017-02-15,65.89
SD,290,41.86,2017-07-11,48.28
TN,1930,45.62,2017-06-27,54.40
TX,7640,40.59,2017-09-11,39.14
UT,840,37.48,2017-06-28,53.57
VA,1950,40.79,2017-09-30,54.87
VT,140,47.00,2017-07-15,78.57
WA,2190,40.85,2017-08-31,51.14
WI,5640,66.29,2017-06-30,24.29
WV,470,43.98,2017-03-14,48.94
WY,220,48.70,2017-03-06,95.45
XX,20,57.50,2016-05-14,50.00
